,id,class,label,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
11,11,Angry,1,angry (19).mp3,135.9991776,167153,1266.310606,0.4956515,0.28902817,0.08353729,0.4700697,0.26098877,0.06811514,0.25095683,0.1426674,0.020353988,20.317516,159.2861,25372.062,5.443759,30.788754,947.9474,0.015882464,3.5995517,12.956773,0.27387807,0.115959965,0.013446714,2404.749671,837.1637983,700843.2252,2704.496144,478.8379079,229285.742,21.55747352,11.47029635,131.5676983,5592.887014,1779.42022,3166336.318,2.900715483,3.475814072,12.08128347,0.016375811,0.081123273,0.006580985,0.072688525,0.057782145,0.003338776,-3.10E-05,0.23009177,0.052942224,-0.000237196,0.12762272,0.01628756,2.699319728,1.416871568,2.007525039
12,12,Angry,1,angry (2).mp3,103.359375,122095,1233.282828,0.36021706,0.2941913,0.086548515,0.43380564,0.28990474,0.084044755,0.23319322,0.1701595,0.028954254,13.127778,113.35645,12849.685,1.2199175,44.088768,1943.8193,0.004390477,2.5929458,6.723368,0.21486369,0.10666843,0.011378153,1925.045075,962.571704,926544.2853,2370.363496,807.884417,652677.2313,23.38986899,10.57009234,111.726852,4385.71098,2499.51403,6247570.388,2.348117397,2.932720429,8.600849116,0.068344341,0.127579912,0.016276634,0.069595195,0.0497934,0.002479383,9.98E-06,0.18865137,0.035589337,-9.98E-05,0.088282324,0.007793768,9.757024943,3.87490607,15.01489705
13,13,Angry,1,angry (20).mp3,99.38401442,126904,1281.858586,0.27499563,0.291418,0.08492444,0.29391748,0.28378722,0.08053518,0.2003742,0.20780644,0.043183513,13.184921,78.51375,6164.408,2.5444648,41.64401,1734.2234,0.012060615,2.4505854,6.005369,0.22381729,0.1008923,0.010179255,1812.699771,804.1002135,646577.1534,2160.12127,605.6539718,366816.7336,23.5479131,10.95140563,119.9332853,3549.207705,1963.576377,3855632.187,2.69772919,3.36509143,11.32384033,-0.049199258,0.217500202,0.047306338,0.084398205,0.049969917,0.002496993,-2.80E-05,0.20230246,0.04092628,-0.000111728,0.08238772,0.006787737,4.239963719,2.318235432,5.374215518
14,14,Angry,1,angry (21).mp3,112.3471467,123806,1238.06,0.31517184,0.30795503,0.094836295,0.46491545,0.2624661,0.06888845,0.25538605,0.13457824,0.018111305,14.094506,116.4242,13554.595,1.1775929,35.40455,1253.4822,0.009509458,2.6464014,7.003441,0.23382612,0.097092554,0.009426964,2287.067667,741.9182618,550442.7072,2492.138303,499.2561251,249256.6785,23.39655054,11.26912151,126.9930997,4975.369915,1875.358217,3516968.443,2.638837008,3.185212002,10.1455755,-0.013877631,0.104105986,0.010838056,0.09696351,0.052332443,0.002738685,-6.77E-05,0.19012575,0.0361478,-0.000220161,0.11158273,0.012450707,3.111473923,1.1671348,1.362203641
15,15,Angry,1,angry (22).mp3,129.1992188,159979,1269.674603,0.3499365,0.3031168,0.091879785,0.4001399,0.28060058,0.078736685,0.23443975,0.16843791,0.028371332,17.934502,199.7999,39920,-0.26955944,28.762703,827.293,0.011995985,2.4669802,6.085992,0.24941169,0.1341255,0.017989649,2640.663642,690.1651209,476327.8941,2737.88908,479.273471,229703.06,22.39897388,10.78046673,116.2184629,5921.201695,1630.082277,2657168.229,2.889214954,3.556664024,12.64985898,0.030355785,0.14394253,0.020719452,0.107053208,0.051685209,0.002671361,-0.000202008,0.22880578,0.052352082,-0.000286713,0.115404055,0.013318095,4.57200907,1.962009224,3.849480197
16,16,Angry,1,angry (23).mp3,135.9991776,172758,1261.007299,0.37979192,0.30958027,0.09583995,0.41106823,0.29548714,0.087312646,0.23795195,0.16343868,0.0267122,8.959095,94.8084,8988.633,-2.637933,45.24219,2046.8557,0.007611821,4.8594475,23.61423,0.16840374,0.11437377,0.013081361,2715.145363,1358.020266,1844219.042,2478.576537,697.4389051,486421.0263,21.93353165,11.2373486,126.2780035,5417.863072,2485.65975,6178504.391,1.867930734,2.775878166,7.705499595,0.031964863,0.149771522,0.022431509,0.117769507,0.087294256,0.007620287,-5.67E-06,0.13719204,0.018821655,3.03E-05,0.12618627,0.015922973,3.196226757,1.644970731,2.705928706
17,17,Angry,1,angry (24).mp3,117.4538352,144628,1351.663551,0.42441565,0.30666134,0.09404117,0.47158948,0.2467428,0.060882006,0.25754625,0.13039657,0.017003266,25.650354,252.63052,63822.18,3.3348095,36.08046,1301.7994,0.010735135,3.5308487,12.466892,0.29806122,0.16336767,0.026688999,2181.271336,832.0993627,692389.3493,2292.168473,551.978812,304680.609,21.36637807,11.2581604,126.7461756,4416.656626,1849.369039,3420165.841,3.455706978,4.36585472,19.06068743,0.020618835,0.060796446,0.003696208,0.094990544,0.064020088,0.004098572,-3.02E-05,0.19390821,0.037600398,-0.000593153,0.20786576,0.043208174,5.413732426,1.663678153,2.767824997
18,18,Angry,1,angry (25).mp3,135.9991776,171698,1281.328358,0.36273107,0.30584928,0.09354379,0.47909665,0.24689436,0.06095683,0.25899047,0.12750398,0.016257266,21.035278,184.82637,34160.785,0.6047804,38.754696,1501.9265,0.012941489,3.0433319,9.2618685,0.26567587,0.15393749,0.023696752,2275.120903,952.8138789,907854.2879,2388.144756,645.2356108,416328.9935,22.04496183,11.17783144,124.9439157,4724.029768,2134.380505,4555580.141,2.961457914,3.818636339,14.58198349,0.024636022,0.083661618,0.006999266,0.101948552,0.065346755,0.004270198,-3.96E-05,0.20823544,0.043362,-6.20E-05,0.15326431,0.023489948,8.955936508,2.573427882,6.622531063
19,19,Angry,1,angry (26).mp3,151.9990809,190926,1281.38255,0.37992775,0.29971462,0.089828864,0.61132324,0.21856146,0.04776911,0.27692753,0.081513725,0.006644487,24.365946,145.28033,21106.377,8.39487,25.06887,628.44824,0.01372443,2.272155,5.1626883,0.3276174,0.08092665,0.006549122,2457.951662,525.5638844,276217.3965,2532.858077,387.3923966,150072.8689,21.46777178,11.81642924,139.628,5301.263777,1207.855015,1458913.738,4.331576695,4.730981737,22.3821882,0.005958867,0.060669294,0.003680763,0.10457741,0.041786439,0.001746106,2.63E-05,0.2469394,0.060979072,0.000368287,0.13907525,0.019341923,5.611102041,2.856104212,8.15733127
20,20,Angry,1,angry (27).mp3,135.9991776,171988,1273.985185,0.32504684,0.29838172,0.08903165,0.4331711,0.26832077,0.07199604,0.24975826,0.1447555,0.020954154,16.115238,117.57366,13823.566,0.4198381,34.11029,1163.512,0.008924219,3.088587,9.53937,0.24731739,0.111445986,0.012420207,2306.47804,785.9749095,617756.5583,2361.596194,572.3100899,327538.839,22.40912768,11.37641376,129.4227901,4803.345955,1822.413285,3321190.183,3.117505583,3.892169628,15.14898441,-0.019589523,0.110816253,0.012280242,0.103743137,0.05499593,0.003024552,1.51E-05,0.1939177,0.037604075,0.000396404,0.1286052,0.016539296,3.091736961,1.354069321,1.833503726
21,21,Angry,1,angry (3).mp3,83.35433468,102071,1379.337838,0.35982865,0.3021332,0.091284476,0.38375574,0.2829699,0.080071956,0.2237817,0.18235978,0.033255093,4.3445277,44.274513,1960.2324,-6.6031885,56.09097,3146.197,0.014581805,2.3318193,5.437381,0.119342394,0.0699893,0.004898503,1663.77649,930.1853509,865244.787,1972.312901,829.6078838,688249.2408,24.57417168,10.52871186,110.8537735,3553.516012,2112.580061,4462994.513,1.273043517,1.751195639,3.066686168,0.073167475,0.148440617,0.022034617,0.06528702,0.042224589,0.001782916,-3.72E-05,0.120068796,0.014416515,1.42E-06,0.0418828,0.001754169,7.962122449,1.794511948,3.220273132
22,22,Angry,1,angry (4).mp3,161.4990234,203769,1331.823529,0.42001724,0.31006685,0.09614144,0.47898066,0.27630013,0.076341756,0.25549427,0.13437267,0.018056015,11.288521,83.076546,6901.712,-0.2213315,44.999474,2024.9528,0.011022917,3.093342,9.568765,0.18403082,0.13048759,0.017027011,2273.213351,1042.582592,1086978.462,2372.250779,662.7010876,439172.7315,23.018311,11.96200878,143.089654,4824.358328,2161.017198,4669995.332,2.117501043,3.179222613,10.10745642,0.008035834,0.101763129,0.010355734,0.099208773,0.07540747,0.005686286,0.000161387,0.16742665,0.02803168,-0.000136555,0.10145879,0.010293885,5.04337415,1.769119796,3.129784853
23,23,Angry,1,angry (5).mp3,129.1992188,164265,1283.320313,0.44382423,0.3084569,0.09514566,0.37737143,0.29711163,0.08827532,0.23224504,0.17145139,0.029395577,15.273778,160.90485,25890.367,-2.087468,57.879353,3350.0193,0.016845003,3.8034103,14.46593,0.18971778,0.17473428,0.03053207,1748.089312,876.9332139,769011.8616,1962.66471,737.2092835,543477.5277,22.35270397,11.28280329,127.30165,3640.023823,1938.161796,3756471.148,1.837009075,3.061322457,9.371695185,-0.039235843,0.163510865,0.026735803,0.063128492,0.056604638,0.003204085,7.83E-05,0.22127016,0.04896048,0.001311685,0.09322235,0.008690407,6.59446712,2.242222991,5.027563941
24,24,Angry,1,angry (6).mp3,123.046875,157034,1287.163934,0.39033934,0.28970954,0.08393161,0.5033885,0.27799743,0.07728257,0.25163025,0.14147635,0.020015558,1.6575785,8.748683,76.53945,-5.6351624,69.98697,4898.1763,0.006920747,1.8547173,3.4399762,0.076206654,0.03659126,0.001338921,1036.273388,405.2731564,164246.3313,1194.330568,504.1339221,254151.0114,22.10251604,11.59943383,134.5468653,1765.818489,1065.113072,1134465.855,1.001406413,1.217552807,1.482434838,-0.007328178,0.12176088,0.014825712,0.060571251,0.018870294,0.000356088,8.10E-06,0.06605981,0.004363899,1.19E-05,0.029324135,0.000859905,5.640126984,3.223820405,10.39301801
25,25,Angry,1,angry (7).mp3,89.10290948,115369,1341.5,0.43530712,0.29579827,0.08749662,0.33774927,0.26213005,0.06871216,0.23327091,0.17005296,0.028918011,12.813376,98.36144,9674.974,3.9087589,42.141,1775.8639,0.011977148,1.9393905,3.7612357,0.20824105,0.113804966,0.012951571,2320.571274,726.8942053,528375.1857,2450.890038,521.5793206,272044.9876,23.20453802,11.52926981,132.9240623,5013.782182,1479.868514,2190010.82,2.223947282,2.875662849,8.269436822,0.057495585,0.163030332,0.026578889,0.080879518,0.049779425,0.002477991,-9.14E-06,0.19276999,0.03716027,-0.000159192,0.090828456,0.008249808,4.13199093,2.182471626,4.7631824
26,26,Angry,1,angry (8).mp3,135.9991776,167406,1268.227273,0.36793974,0.32075977,0.10288683,0.50774014,0.2673404,0.07147088,0.26487517,0.11478016,0.013174485,0.09935304,1.261605,1.5916474,-11.256126,81.48851,6640.377,0.005949883,3.0189404,9.114001,0.017226057,0.011780143,0.000138772,2037.493201,1066.557452,1137544.798,2357.658198,485.2359267,235453.9046,22.29429542,11.14478216,124.2061694,4289.140731,1965.974047,3865053.953,0.182705557,0.24599207,0.060512098,-0.00183869,0.073782958,0.005443925,0.089057474,0.080930583,0.006549759,-3.87E-08,0.015106472,0.000228206,-7.22E-07,0.009278108,8.61E-05,2.464798186,1.312723969,1.723244219
27,27,Angry,1,angry (9).mp3,161.4990234,202540,1273.836478,0.3775273,0.31584227,0.09975634,0.37255564,0.27826202,0.07742976,0.23635688,0.16573703,0.027468765,16.125349,149.88857,22466.582,-3.3154242,35.587116,1266.4427,0.010717145,3.4466562,11.879439,0.2324857,0.13313395,0.017724648,2569.987077,957.9431471,917655.073,2668.68933,534.4544539,285641.5633,22.83574234,10.89197835,118.6351924,5604.011947,2080.156613,4327051.533,2.342604549,3.06564614,9.398186257,0.043658994,0.135710085,0.018417227,0.096532485,0.068862445,0.004742036,-2.44E-05,0.21921436,0.04805494,-0.000298874,0.11923226,0.014216332,3.181133787,1.942873424,3.77475714
28,28,Calm,2,calm (1).mp3,117.4538352,144158,1456.141414,0.3278168,0.29950634,0.089704044,0.3793779,0.2853941,0.08144979,0.22275147,0.18361676,0.033715114,4.42197,28.150682,792.46094,-3.8858047,63.390163,4018.3127,0.012698546,1.6222409,2.6316657,0.122802146,0.06271176,0.003932765,1181.307062,464.9535496,216181.8033,1470.238071,525.1171948,275748.0683,24.72439711,10.76972245,115.9869217,2300.43609,1068.284302,1141231.351,1.387456458,1.773577362,3.145576658,-0.024020234,0.163361864,0.026687099,0.05178918,0.02480973,0.000615523,8.04E-05,0.12364746,0.015288694,0.00011543,0.033695195,0.001135366,11.90487075,2.469113287,6.096520426
29,29,Calm,2,calm (10).mp3,129.1992188,156114,1239,0.35878727,0.3028946,0.09174514,0.25680488,0.29084963,0.0845935,0.18782707,0.21921296,0.048054326,6.2464366,34.515255,1191.3027,2.7505174,41.27671,1703.767,0.015966108,2.8420408,8.077196,0.16022809,0.048843823,0.002385719,2289.469412,922.4383797,850892.5643,2647.576318,507.188933,257240.6138,24.51907634,10.16570849,103.3416291,5189.701952,2004.691199,4018786.803,1.618539702,1.843206476,3.397410111,-0.019285482,0.252265786,0.063638027,0.08323608,0.074854291,0.005603165,7.91E-07,0.14843401,0.022032658,5.01E-06,0.048509516,0.002353173,2.680743764,1.562540348,2.441532339
30,30,Calm,2,calm (11).mp3,99.38401442,124722,1272.673469,0.29665348,0.30797935,0.09485128,0.3656654,0.27115142,0.0735231,0.22708882,0.1782246,0.031764004,9.3282,60.41942,3650.506,1.1714225,36.865932,1359.0969,0.01134478,2.5243037,6.372109,0.18878694,0.077972144,0.006079655,2157.179895,797.5339865,636060.4597,2447.213116,405.5659432,164483.7343,24.47098231,10.9449725,119.792423,4529.410111,1636.673977,2678701.707,2.018408855,2.40898039,5.80318652,0.024072477,0.132922345,0.01766835,0.084105312,0.062320994,0.003883906,1.65E-06,0.17485924,0.030575754,4.18E-05,0.06272592,0.00393454,2.638947846,1.445808614,2.090362548
31,31,Calm,2,calm (12).mp3,78.30255682,92591,1234.546667,0.30812192,0.3045168,0.09273048,0.3354935,0.27921975,0.07796367,0.22119264,0.18549162,0.034407143,5.6784697,42.514137,1807.4518,-0.76043797,36.978676,1367.4226,0.012650929,2.4043229,5.780768,0.14679886,0.06716703,0.004511409,2548.641443,828.7531251,686831.7424,2609.267976,391.8097212,153514.8577,23.63751672,11.0434527,121.9578475,5561.03304,1474.195717,2173253.011,1.666729082,2.025072424,4.100918321,0.001129607,0.168578845,0.028418827,0.100976714,0.06977363,0.004868359,1.29E-06,0.13614306,0.018534934,9.61E-06,0.052823175,0.002790288,2.962866213,1.796141165,3.226123086
32,32,Calm,2,calm (13).mp3,135.9991776,167271,1257.676692,0.30014867,0.30483937,0.09292704,0.3230247,0.30063495,0.09038137,0.21229804,0.19560899,0.038262878,12.107643,78.74146,6200.2183,-1.0224277,34.54508,1193.3624,0.009266751,2.7600129,7.6176705,0.2137079,0.09048769,0.008188021,2525.469023,910.998657,829918.553,2722.467451,442.0700898,195425.9643,24.0922966,10.72135976,114.9475551,5678.265664,1848.079309,3415397.131,2.26667897,2.757688513,7.604845937,-0.032746979,0.215404265,0.046398997,0.098324235,0.071076727,0.005051901,-1.75E-06,0.19630833,0.038536962,-1.72E-05,0.08112652,0.006581512,5.187337868,3.232926552,10.45181409
33,33,Calm,2,calm (14).mp3,123.046875,153948,1272.297521,0.3081524,0.30732864,0.0944509,0.34559643,0.29113284,0.08475833,0.2246871,0.18124302,0.03284903,5.781237,50.0049,2500.4902,-1.9059671,41.291534,1704.991,0.010606696,2.819865,7.9516387,0.14926155,0.070545964,0.004976733,2694.795676,973.2504732,947216.4835,2730.717917,449.2525176,201827.8246,24.99406231,11.00413977,121.0910921,5992.338765,1856.607824,3446992.613,1.594929144,2.055563439,4.22534105,0.010788264,0.197506545,0.039008835,0.110462484,0.080291667,0.006446752,-5.86E-07,0.13003403,0.01690885,-1.39E-05,0.06793241,0.004614812,2.755047619,1.258775886,1.584516732
34,34,Calm,2,calm (15).mp3,112.3471467,141164,1283.309091,0.2898341,0.29600513,0.087619044,0.38037077,0.2739775,0.07506367,0.23297198,0.1704623,0.029057397,13.526295,85.50965,7311.9004,0.9829809,27.596184,761.5493,0.010724804,2.3609726,5.5741916,0.22693694,0.09748087,0.00950252,2821.52697,760.7550585,578748.259,2908.10034,308.824758,95372.73113,23.39080002,10.48725725,109.9825647,6454.51097,1415.011592,2002257.805,2.590228751,3.099467208,9.606696971,-0.036413869,0.142751828,0.020378085,0.116072994,0.061965591,0.003839735,-1.78E-06,0.20494159,0.042001054,-9.41E-06,0.0843701,0.007118313,2.616888889,1.537664248,2.36441134
35,35,Calm,2,calm (16).mp3,135.9991776,169301,1292.374046,0.28681862,0.3002525,0.090151556,0.3261766,0.28972024,0.083937824,0.21810135,0.18911673,0.035765138,4.507876,26.256762,689.41754,-6.5091176,43.434204,1886.53,0.010707306,2.415369,5.8340073,0.12726954,0.06584099,0.004335036,2154.597973,779.7003771,607932.678,2421.770633,432.7260116,187251.8011,25.4794153,10.22727856,104.5972267,4615.738756,1604.670033,2574965.914,1.457559836,1.953533355,3.816292569,-0.04411211,0.185635689,0.034460609,0.090094126,0.062232121,0.003872837,-2.85E-08,0.1189074,0.014138971,-2.07E-06,0.049478076,0.00244808,2.824707483,1.729664927,2.991740759
36,36,Calm,2,calm (17).mp3,86.1328125,111395,1280.402299,0.27015382,0.3093287,0.095684245,0.3004861,0.28516778,0.08132066,0.21081038,0.19721135,0.03889232,9.217867,70.43587,4961.212,-4.3923984,39.33683,1547.3862,0.010666961,2.6973228,7.275551,0.17854567,0.091505595,0.008373274,2370.903103,985.3170031,970849.5965,2704.583132,468.7925596,219766.464,24.40420129,10.54690743,111.2372564,5436.600459,1982.6593,3930937.901,1.661090695,2.124998988,4.515620697,0.01182849,0.19740061,0.038967001,0.080748567,0.07236844,0.005237191,-8.18E-06,0.18030204,0.032508828,-6.33E-05,0.051643852,0.002667087,3.563102041,2.118042691,4.486104842
37,37,Calm,2,calm (18).mp3,103.359375,131149,1273.291262,0.26993674,0.2997734,0.08986409,0.41663176,0.28935787,0.083727986,0.2439294,0.15437546,0.023831785,16.378624,110.973404,12315.096,-1.583024,28.175335,793.8495,0.007699637,2.4872386,6.1863565,0.25039417,0.11141384,0.012413043,2711.378894,676.8605742,458140.2369,2667.69308,362.4720098,131385.9579,22.78470033,11.23062223,126.1268757,5913.668408,1320.285307,1743153.291,3.062933836,3.742363105,14.00528161,0.024443062,0.143383339,0.020558782,0.116884403,0.058116269,0.003377501,4.68E-06,0.21152388,0.04474235,3.59E-05,0.11207017,0.012559723,1.468662132,0.864265147,0.746954244
38,38,Calm,2,calm (19).mp3,143.5546875,186748,1287.917241,0.3399596,0.2997216,0.08983304,0.49340385,0.24796993,0.061489083,0.2683729,0.10634527,0.011309317,14.42644,74.94099,5616.1514,2.7735496,27.2657,743.41833,0.014647834,2.857334,8.164357,0.24865562,0.07587844,0.005757538,2621.04931,830.0851436,689041.3457,2683.731285,360.88617,130238.8277,22.96335348,10.44787416,109.1580745,5661.132435,1435.673742,2061159.094,3.156540665,3.685405944,13.58221697,-0.022257001,0.104863034,0.010996256,0.120888914,0.073851177,0.005453996,-3.81E-05,0.17709744,0.031363502,4.59E-05,0.13782316,0.018995224,2.445061224,1.199375281,1.438501064
39,39,Calm,2,calm (2).mp3,151.9990809,184646,1282.263889,0.2962227,0.29875445,0.08925422,0.3104797,0.28549266,0.081506066,0.21166411,0.19629477,0.038531635,9.06767,59.338463,3521.053,-4.5382347,38.831467,1507.8829,0.009018267,2.2450423,5.0402155,0.18593162,0.08106087,0.006570865,2058.018654,807.7389483,652442.2087,2298.997879,390.5134728,152500.7724,25.50536136,10.8248609,117.1776136,4310.894766,1539.680805,2370616.981,2.046502171,2.446997151,5.987795057,-0.044599935,0.194874637,0.037976124,0.088756266,0.072040847,0.005189884,1.56E-06,0.17475966,0.03054094,-5.92E-06,0.06408838,0.00410732,3.089414966,1.353655148,1.83238226
